Champion,Win %,Games,Wins,Losses,KDA,Kills,Deaths,Assists,Double Kills,Triple Kills,Quadra Kills,Penta Kills,CS,CS/m,Player,NetizenWin%,Role,Kill Avg,Death Avg,Assist Avg
Akali,61%,28,17,11,2.5,470,460,682,83,19,7,0,23.6,1.1,Matt,43.90%,Assassin,16.8,16.4,24.4
Katarina,40%,25,10,15,2.4,368,398,589,86,22,6,0,33.1,1.7,Matt,42.70%,Assassin,14.7,15.9,23.6
Zeri,39%,18,7,11,3.1,282,235,447,54,16,4,1,82.3,4.4,Matt,49.60%,AD Carry,15.7,13.1,24.8
Yuumi,76%,17,13,4,6.27,63,137,796,6,0,0,0,3.5,0.2,Matt,50.70%,Enchantress,3.7,8.1,46.8
Nilah,76%,17,13,4,2.71,209,229,411,46,11,0,0,72.4,3.7,Matt,51.00%,Engage,12.3,13.5,24.2
Sylas,81%,16,13,3,3.41,344,188,298,62,19,6,2,24.3,1.4,Jason,48.30%,Bruiser,21.5,11.8,18.6
Fizz,69%,16,11,5,2.8,374,245,313,70,18,4,1,34.9,1.8,Jason,50.50%,Assassin,23.4,15.3,19.6
Udyr,43%,14,6,8,2.52,98,216,446,6,0,0,0,21.9,1.1,Matt,52.40%,Bruiser,7.0,15.4,31.9
Renekton,77%,13,10,3,2.39,219,192,240,46,13,2,0,57.5,3,Jason,51.40%,Bruiser,16.8,14.8,18.5
Viego,54%,13,7,6,2.89,188,147,237,41,10,2,0,35.3,2,Jason,48.50%,Bruiser,14.5,11.3,18.2
Ivern,69%,13,9,4,4.79,42,117,518,1,1,0,0,9.3,0.5,Matt,52.30%,Enchantress,3.2,9.0,39.8
Ryze,62%,13,8,5,3.15,177,160,327,26,10,2,0,50.3,2.6,Matt,49.20%,Bruiser,13.6,12.3,25.2
Qiyana,58%,12,7,5,2.89,296,188,247,62,12,3,1,46.7,2.1,Jason,42.50%,Assassin,24.7,15.7,20.6
Nunu & Willump,50%,12,6,6,3.63,220,149,321,31,9,3,2,39.4,2,Jason,49.60%,Engage,18.3,12.4,26.8
Aatrox,73%,11,8,3,3.12,204,134,214,37,12,3,1,46.3,2.4,Jason,49.80%,Bruiser,18.5,12.2,19.5
Vladimir,64%,11,7,4,3.71,203,126,264,38,13,4,0,61.7,3.3,Jason,50.10%,Bruiser,18.5,11.5,24.0
Master Yi,64%,11,7,4,2.56,224,160,186,54,21,6,1,36.2,2,Jason,47.90%,Assassin,20.4,14.5,16.9
